,name,title,latitude,longtitude,address1,address2,address3,city,zip_code,country,state,display_address
0,Wissahickon Bar & Bistro,"['Burgers', 'Bars']",40.0171089172363,-75.21044921875,5109 Rochelle Ave,,,Philadelphia,19128,US,PA,"5109 Rochelle Ave Philadelphia, PA 19128 "
1,DJ Kitchen,"['Chinese', 'Bubble Tea']",40.007287,-75.212717,4040 City Ave,,,Philadelphia,19131,US,PA,"4040 City Ave Philadelphia, PA 19131 "
2,The Rook Manayunk,"['Breakfast & Brunch', 'Juice Bars & Smoothies', 'Sports Bars']",40.021691,-75.215963,4001 Cresson St,,,Philadelphia,19127,US,PA,"4001 Cresson St Philadelphia, PA 19127 "
3,Unity Taqueria,"['Tacos', 'Tex-Mex']",40.022452,-75.209024,5420 Ridge Ave,,,Philadelphia,19128,US,PA,"5420 Ridge Ave Philadelphia, PA 19128 "
4,Deke's Bar-B-Que,['Barbeque'],40.0152739,-75.2075673,4901 Ridge Ave,,,Philadelphia,19128,US,PA,"4901 Ridge Ave Philadelphia, PA 19128 "
5,Lisa's Kitchen,"['Sandwiches', 'Breakfast & Brunch', 'Steakhouses']",40.019251,-75.2107,5231 Ridge Ave,,,Philadelphia,19128,US,PA,"5231 Ridge Ave Philadelphia, PA 19128 "
6,Jason's Toridasu City Avenue,"['Burgers', 'Fast Food']",40.0084750866443,-75.2097653892913,3800 City Ave,Unit C,,Philadelphia,19131,US,PA,"3800 City Ave Unit C Philadelphia, PA 19131 "
7,The Landing Kitchen,"['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']",40.016373088595714,-75.21422542177912,617 Righters Ferry Rd,,,Bala Cynwyd,19004,US,PA,"617 Righters Ferry Rd Bala Cynwyd, PA 19004 "
8,LeBus East Falls,"['American (Traditional)', 'Breakfast & Brunch', 'Burgers']",40.0088924745012,-75.193701647222,4201 Ridge Ave,,,Philadelphia,19129,US,PA,"4201 Ridge Ave Philadelphia, PA 19129 "
9,Pizzeria L'Angolo,"['Gluten-Free', 'American (Traditional)', 'Pizza']",40.02245,-75.2183,4105 Main St,,,Philadelphia,19127,US,PA,"4105 Main St Philadelphia, PA 19127 "
10,Foghorn,['Chicken Shop'],40.0091071614405,-75.1941820979118,4213 Ridge Ave,,,Philadelphia,19129,US,PA,"4213 Ridge Ave Philadelphia, PA 19129 "
11,Shan Chuan,"['Chinese', 'Japanese']",40.00922,-75.19407,4211 Ridge Ave,,,Philadelphia,19129,US,PA,"4211 Ridge Ave Philadelphia, PA 19129 "
12,Rox Cafe,"['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']",40.01776772594151,-75.21120640972352,5134 Rochelle Ave,,,Philadelphia,19128,US,PA,"5134 Rochelle Ave Philadelphia, PA 19128 "
