US Highway 54
Audrain Road 532
Audrain Road 539
E Maple Street
E Franklin Avenue
E Hess Street
E Linn Street
County Road 529
S Pine Street
Audrain Road 543
E Athey Street
County Road 543
County Road 557
Trabue Drive
N Pine Street
County Road 525
W Linn Street
Audrain Road 557
County Road 556
W Arthur Street
W Harrison Street
County Road 541
County Road 517
Highway P
S Centre Street
Blue Lagoon
County Road 534
County Road 524
N Main Street
E Hickory Street
County Road 539
S Main Street
W Athey Street
Audrain Road 525
County Road 544
Audrain Road 529
Audrain Road 524
Audrain Road 547
County Road 564
Audrain Road 556
E Shotwell Street
Audrain Road 544
Audrain Road 541
W Hickory Street
S Pleasant Street
County Road 547
County Road 532
Oak Street
E 6th Street
State Highway Aa
W Hess Street
N Centre Street
Audrain Road 517
Doyle Street
N Pleasant Street
