Frio Draw
County Road 46
State Highway 469
Curry Road P
State Route 241
Curry Road 45
Curry Road 43
Curry Road L
County Road 37
C R 38
County Road 36
Curry Road B
C R 41
Curry Road C
State Road 275
Curry Road 29
Curry Road 32
Curry Road K
County Road 43
County Road 40
C R C
State Highway 19
Curry Road D
Curry Road E
County Road 31
State Line Road
Curry Road F
Curry Road 37
County Road 35
Curry Road 30
Curry Road 36
Curry Road 41
County Road 32
Curry Road N
State Highway 18
State Highway 398
Curry Road 40
Curry Road 34
State Route 275
Curry Road 46
County Road 47
County Road 41
Curry Road H
State Road 275H
County Road E
Curry Road 33
Curry Road A
County Road 42
Curry Road 35
Curry Road J
Curry Road 38
State Route 18
County Road 45
Curry Road G
County Road 38
Curry Road M
C R 32
Curry Road 31
Curry Road Q
State Route 19
S Roosevelt Road 29
State Highway 209
State Highway 93
C R 36
County Road 29
Curry Road 42
Curry Road I
State Highway 39
C Ranch To Market Road
Curry Road 44
C R 44
County Road 34
Curry Road 47
County Road 44
