Parsons Boulevard
184th Street
165th Street
Horace Harding Boulevard
195th Lane
168th Street
64th Circle
72nd Avenue
75th Avenue
169th Street
50th Avenue
53rd Avenue
190th Lane
162nd Street
Underhill Avenue
60th Avenue
Booth Memorial Avenue
Horace Harding Expy
173rd Street
Fresh Meadow Lane
181st Street
194th Street
Gladwin Avenue
Lithonia Avenue
59th Avenue
Litnonia Avenue
196th Place
73rd Avenue
160th Street
187th Street
180th Street
64th Avenue
183rd Street
75th Road
166th Street
Hollis Court Boulevard
56th Avenue
68th Avenue
69th Avenue
175th Street
196th Street
Francis Lewis Boulevard
Metcalf Avenue
Union Tpke
79th Avenue
190th Street
186th Lane
193rd Lane
74th Avenue
71st Avenue
171st Street
Utopia Pkwy
193rd Street
185th Street
78th Road
48th Avenue
172nd Street
76th Avenue
71st Cres
161st Street
170th Street
178th Street
167th Street
163rd Street
198th Street
170th Place
51st Avenue
199th Street
159th Street
65th Cres
Weeks Lane
Jewel Avenue
192nd Street
164th Street
195th Street
179th Street
58th Avenue
Park Avenue
77th Road
186th Street
77th Avenue
76th Road
175th Place
49th Avenue
67th Avenue
188th Street
189th Street
182nd Street
176th Street
65th Avenue
Pidgeon Meadow Road
78th Avenue
Sutton Place
174th Street
Peck Avenue
177th Street
197th Street
194th Lane
