St Ann Street
39th Avenue NE
BIA Road 7
47th Avenue NE
Lake Shooty Road
44th Avenue NE
91st Street NE
92nd Street NE
State Highway 5
BIA Road 11
46th Avenue NE
45th Avenue NE
94th Street NE
38th Avenue NE
BIA Road 13
93rd Street NE
Unnamed Road
Lavallie Street NE
BIA Road 6
BIA Road 5
Main Avenue W
Green Acres
BIA Road 12
BIA Road 3
42nd Avenue NE
Roussin Road NE
49th Avenue NE
43rd Avenue NE
Larocque Drive
BIA Road 1
40th Avenue NE
US Highway 281
BIA Road 4
90th Street NE
41st Avenue NE
95th Street NE
BIA Road 10
96th Street NE
Center Site Road
48th Avenue NE
