Soo Street
3rd Avenue SW
County Highway 63
1st Street W
2nd Avenue SW
85th Avenue SE
8th Street SE
County Road 43
17th Street SE
23rd Street SE
94th Avenue SE
18th Street SE
16th Street SE
6th Street SE
89 1/2nd Avenue SE
State Line Road
21st Street SE
90th Avenue SE
9th Street SE
Day Street SW
22nd Street SE
3rd Avenue NW
86th Avenue SE
89th Avenue SE
102nd Street SE
Old Highway 20
95th Avenue SE
S Dakota Brn Co 1
2nd Avenue NE
Short Street W
Railway Avenue E
15th Street SE
100th Street
2nd Avenue SE
4th Street SE
Franklin Street SW
State Highway 9
13th Street SE
6th Street
12th Street SE
1st Street E
2nd Avenue NW
14th Street SE
92nd Avenue SE
93rd Avenue SE
State Highway 20
7th Street SE
87th Avenue SE
Short Street E
County Highway 44
10th Street SE
1st Avenue S
4th Avenue SW
Railway Avenue W
19th Street SE
88th Avenue SE
Brown Street E
11th Street SE
County Road 1
1st Avenue N
91 1/2nd Avenue SE
20th Street SE
91st Avenue SE
Camp Rokiwan Road
